order,Delay,Test.Time,Prolific.ID,Participant.Private.ID,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,answer,original_response,lure_recalled,intrusions
2177,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,slow,NA,0,2
2178,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,river,NA,0,2
2179,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,spider,NA,0,2
2180,delay,AM,,8389380,Chrome 109.0.0.0,1536x864,1536x864,foot,NA,0,2
2341,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,window,NA,0,4
2342,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,sleep,NA,0,4
2343,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,doctor,NA,0,4
2344,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,smell,smell,1,4
2345,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,chair,NA,0,4
2346,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,smoke,NA,0,4
2347,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,sweet,NA,0,4
2348,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,rough,NA,0,4
2349,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,needle,needle,1,4
2350,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,rubbish,NA,0,4
2351,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,anger,NA,0,4
2352,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,soft,NA,0,4
2353,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,city,NA,0,4
2354,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,cup,NA,0,4
2355,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,cold,NA,0,4
2356,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,mountain,NA,0,4
2357,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,slow,slow,1,4
2358,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,river,NA,0,4
2359,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,spider,NA,0,4
2360,delay,AM,,8389436,Firefox 110.0,1536x864,1536x864,foot,NA,0,4
2521,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,window,window,1,2
2522,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,sleep,NA,0,2
2523,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,doctor,doctor,1,2
2524,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,smell,smell,1,2
2525,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,chair,chair,1,2
2526,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,smoke,smoke,1,2
2527,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,sweet,sweet,1,2
2528,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,rough,NA,0,2
2529,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,needle,NA,0,2
2530,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,rubbish,rubbihs,1,2
2531,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,anger,NA,0,2
2532,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,soft,NA,0,2
2533,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,city,NA,0,2
2534,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,cup,cup,1,2
2535,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,cold,cold,1,2
2536,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,mountain,mountain,1,2
2537,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,slow,NA,0,2
2538,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,river,river,1,2
2539,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,spider,NA,0,2
2540,delay,AM,,8354648,Chrome 110.0.0.0,1440x900,1440x900,foot,NA,0,2
2701,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,window,NA,0,20
2702,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,sleep,NA,0,20
2703,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,doctor,NA,0,20
2704,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,smell,NA,0,20
2705,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,chair,NA,0,20
2706,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,smoke,NA,0,20
2707,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,sweet,NA,0,20
2708,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,rough,NA,0,20
2709,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,needle,needle,1,20
2710,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,rubbish,NA,0,20
2711,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,anger,NA,0,20
2712,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,soft,NA,0,20
2713,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,city,NA,0,20
2714,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,cup,NA,0,20
2715,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,cold,NA,0,20
2716,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,mountain,mountain,1,20
2717,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,slow,NA,0,20
2718,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,river,NA,0,20
2719,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,spider,NA,0,20
2720,delay,AM,,8393200,Chrome 110.0.0.0,1280x720,1280x720,foot,NA,0,20
3061,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,window,NA,0,6
3062,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,sleep,sleep,1,6
3063,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,doctor,NA,0,6
3064,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,smell,NA,0,6
3065,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,chair,NA,0,6
3066,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,smoke,NA,0,6
3067,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,sweet,NA,0,6
3068,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,rough,NA,0,6
3069,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,needle,needle,1,6
3070,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,rubbish,NA,0,6
3071,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,anger,NA,0,6
3072,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,soft,NA,0,6
3073,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,city,NA,0,6
3074,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,cup,NA,0,6
3075,delay,AM,,8342559,Chrome 110.0.0.0,1920x1080,1920x1080,cold,NA,0,6
